#Records Breached,#Total Records,% Record Breach,Show Data By Calc,City,Company,Date Made Public,Description of incident,Information Source,Location,Number of Records,Records Breached,Source URL,State,Total Records,Type of breach,Type of organization
1981,1981,100,Statewise Representation,Dallas,Baylor Regional Medical Center,5/9/2014,"Baylor Regional Medical Center at Plano communicated to patients a data breach that occured when a ""phishing"" email went out to affiliated physicians. The physicians may have been unaware that is was a ""phishing"" scam and inadvertently created unauthorized access to their email accounts. The email accounts may have included emails that contained patient information, including names, addresses, dates of birth, or telephone numbers, some clinical information such as treating physician, department, diagnosis, treatment received, medical record number, medications, medical service code or health insurance information and Social Security numbers.",Media,"Dallas, Texas",1,1981,,Texas,"1,981",HACK,MED
2962,2962,100,Statewise Representation,Atlanta,Humana,5/23/2014,"Humana has notified Atlanta customers of a data breach that occurred when a Humana associate's vehicle was broken into and an unencrypted USB drive along with the associates lap top computer were stolen. The information contained on these devices included medical record information and Social Security Numbers.Humana said that it ""has no reason to believe that the information 
has been used inappropriately."" The company is offering free 
access to a credit-monitoring service for members who were affected.""Members 
enrolled in Medicare plans who have any questions about this may contact
 Humana at 1-800-457-4708, from 9 a.m. to 5 p.m. Members enrolled in 
non-Medicare plans should call 1-800-448-6262"".",PHIPrivacy.net,"Atlanta, Georgia",1,"2,962",,Georgia,"2,962",PORT,MED
1500,1500,100,Statewise Representation,Kansas City,Midwest Womens Healthcare Specialists,5/27/2014,"Midwest Women's Healthcare has informed patientes of a data breach when records were mistakenly placed in a dumpster during a construction project at their facility. The records in turn were blown out of the dumpster during a strong wind storm in the area. The records included names, addresses and Social Security numbers for female patients in 2011 and 2012. More Information: http://www.kshb.com/news/local-news/mistake-during-construction-led-to-l...UPDATE (12/3/2014): A settlement agreement has been reached with over 1,500 women and the Women's Healthcare Specialists over the mistaken exposure of their personal information when records were accidentally dumped outside the facility in a dumpster, then blown from the dumpster due to high winds in May 2014. Midwest Healthare Specialists agreed to set up a victims' fund of $400,000 to compensate those women whose records were exposed as a result of the physical disclosure of documents. More Information: http://www.kshb.com/news/local-news/exclusive-settlement-reached-over-im... ",Media,"Kansas City , Missouri",1,"1,500",,Missouri,"1,500",PHYS,MED
500,500,100,Statewise Representation,Oregon,Promedica Bay Park Hospital,5/28/2014,"ProMedica Bay Park Hospital notified patients of a data breach when an employee of the facility accessed records of patients not directly under their care from April 1, 2013 to April 1, 2014.The information breached included each ""patient's full 
name, date of birth, diagnosis, attending physicians, and medications. 
Patients' Social Security numbers and financial information are 
not believed to have been accessed"".
The employee was immediately fired once the hospital learned of the privacy breach.",Media,"Oregon, Ohio",1,500,,Ohio,500,INSD,MED
,,,Statewise Representation,Los Angeles,Sharper Future,5/28/2014,"The Sharper Future, a mental health facility in Los Angeles has informed clients of a data breach when their offices were burglarized and various electronic equipment that stored patient records which includes names, dates of birth, health and clinical histories, treatment records, CDCR identification numbers and Social Security numbers of their clients.The facility did report that the information on the stolen equipment was password-protected and did not include financial information. The incident is currently under investigation by authorities. ",California Attorney General,"Los Angeles, California",1,Unknown,,California,Unknown,STAT,MED
,,,Statewise Representation,Helena,Montana Health Department,5/29/2014,"The Montana Department of Public Health and Human Services announced a data breach that occured when hackers had access to the server for nearly a year. The server contains names, addresses, dates of birth, Social Security numbers and clinical information of customers along with the Social Security numbers and bank account information of employees.The agency has set up a help line for those who may have been affected at 1-800-809-29561-800-809-2956.CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",Media,"Helena, Montana",1,Unknown,,Montana,Unknown,HACK,MED
,,,Statewise Representation,Peoria,Midwest Urological Group,6/4/2014,Midwest Urological Group notified patients of a data breach when a laptop was reported stolen when an employee may have inadvertently forgot to lock the cabinet that housed the laptop.  According to authorities the laptop contained patient information that included treatment information on the patients at the facility. No specific details were released as to the type of information involved.  More Information: http://www.pjstar.com/article/20140604/NEWS/140609564/10924/NEWS,Media,"Peoria, Illinois",1,Uknown,,Illinois,Unknown,PORT,MED
1801,,,Statewise Representation,Hershey,Penn State Milton S. Hershey Medical Center,6/6/2014,"Penn State Milton S. Hershey Medical Center began alerting patients of a data breach when an employee accessed clinical data on an unauthorized computer and removable storage device. The employee did have permissions to have access to the files, but downloaded the clinical information on a removable storage device and his personal computer, both of which were not properly secured and outside of the medical centers IT department. The employee also used their personal email account to send emails with a test log of the data to two physicians at the medical center.",Media,"Hershey , Pennsylvania",1,"1,801",,Pennsylvania,Unknown,INSD,MED
1175,,,Statewise Representation,Columbus,St. Francis Hospital,6/10/2014,"St. Francis Hospital notified patients of a data breach when a mass email to 1, 175 patients was sent out where all email addresses were visible vs. having each patient being blind copied on the email. The hospital is claiming that no medical treatment or other personal information was part of the email.Those St. Francis patients who have questions about the incident are asked to call the hospital at 1-800-723-49981-800-723-4998.CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",Media,"Columbus, Georgia",1,"1,175",,Georgia,Unknown,DISC,MED
33702,,,Statewise Representation,Santa Rosa,Redwood Regional Medical Group,6/12/2014,"A thumb drive containing 33,702 patient records was stolen from the Redwood Regional Medical Group in Santa Rosa California. An employee placed the thumb drive in a ""zipped container in an unlocked locker"", where the drive was stolen.The information contained on the device included patients' first and 
last names, gender, medical record numbers, date of birth, date and time
 of service, area of body X-rayed, the X-ray technologist's name and the
 radiation level required to produce the X-ray. No other images such as MRI's or mammograms were stored on the device. The medical center was taken over by St. Joseph Health on April 1st. The records were 
backed up to the drive as a precaution while they were being moved to 
Santa Rosa Memorial Hospital's electronic medical records system.",PHIPrivacy.net,"Santa Rosa, California",1,"33,702",,California,Unknown,PHYS,MED
14100,,,Statewise Representation,San Diego,Rady's Childrens Hospital,6/19/2014,"Rady's Children's Hospital has suffered a data breach when an employee inadvertently sent an email with a file attached to 6 potential job applicants. The applicants were meant to receive approved information for an internal evaluation, instead they received the original file with the information of 14,100 patients. The information included names, dates of birth, primary diagnoses, medical records and insurance carrier claim information. According to the hospital no Social Security numbers,  credit card information, addresses or parent/guardian information were included in this file. The file contained information on patientes admitted to the hospital between July 1, 2012 through June 30, 2013.",Media,"San Diego, California",1,"14,100",,California,Unknown,DISC,MED
96998,96998,100,Statewise Representation,Nassau,NRAD Medical Associates,6/21/2014,"NRAD Associates informed patients of a data breach to their system when a radiologist employed with the facility accesses patient information without authorization. As disclosed by NRAD the information
 the Dr. accessed included the following information: names, addresses, 
dates of birth, Social Security numbers, health insurance information, 
diagnosis codes and procedure codes.For those with questions or concerns, call 1-800-926-81801-800-926-8180  or go to the link www.NRAD.com/answersMore Information: http://www.databreaches.net/radiologist-bypasses-billing-system-computer...UPDATE (12/4/2014): A physician with NRAD Associates has been arrested for the theft of protected health information of 96,998 patients of the medical facility. James Kessler, a Radiologist with the facility has been charged with Unauthorized Use of a Computer, Unlawful Duplication of Computer Related Material in the 2nd degree and Petit Larceny, all of which are misdemeanors in the state of New York. As disclosed by NRAD the information the Dr. accessed included the following information: names, addresses, dates of birth, Social Security numbers, health insurance information, diagnosis codes and procedure codes. More Information: http://www.phiprivacy.net/doctor-who-stole-personal-information-of-nearl... CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",Media,"Nassau, New York",1,"96,998",,New York,"96,998",INSD,MED
,,,Statewise Representation,Moreno Valley,Riverside County Regional Medical Center,6/24/2014,"The Riverside Regional Medical Center has notified patients of the loss of a laptop computer that contained personal patient information. The laptop went missing from a diagnostic services office in the hospital sometime between June 17, 2014 and June 18, 2014. The information on the missing laptop included names, dates of birth, medical record numbers and results of a nerve conduction study, and the names of the referring doctor and the doctor who performed the study. The hospital did communicate that no Social Security numbers, health insurance information or home addresses were stored on this particular laptop.For those who were affected, they have been asked to call Christina Quijada at 1-877-500-1255 or the Riverside County Privacy Office at 951-955-5757.",California Attorney General,"Moreno Valley, California",1,Unknown,,California,Unknown,PORT,MED
500,,,Statewise Representation,Salina,Salina Family Healthcare Center,6/26/2014,"""Salina Family Healthcare Center (SFHC) notified more than 500 
patients of an unintentional transmission of unsecured personal patient 
protected health information after discovering the following event:
""On April 8, 2014, a staff member submitted a database to the National
 Commission for Quality Assurance (NCQA) for our involvement in a care 
coordination research study. The staff member responsible for our 
participation in the project inadvertently left a table in that database
 that included patients’ names, dates of birth, chart numbers and CPT 
codes associated with their care. Upon opening the email, the NCQA staff
 member who received the database immediately recognized the breach, 
deleted the database, and notified our staff member"""".",PHIPrivacy.net,"Salina, Kansas",1,500,,Kansas,Unknown,DISC,MED
300,,,Statewise Representation,San Antonio,San Antonio Metropolitan Health District,6/30/2014,"San Antonio Metropolitan Health District announced a data breach involving vaccination records of 300 children when a laptop containing these records was stolen.The records included first and the last name of the patient, the patient's date of birth, an 
identifier for the patient's doctor, and the name of the immunizations. The laptop has since been recovered.",Media,"San Antonio, Texas",1,300,,Texas,Unknown,PORT,MED
,,,Statewise Representation,Williston,Vermont Health Exchange,7/1/2014,"A Romanian hacker accessed the Vermont Health Exchange's development server last December gaining access at least 15 times and going undetected for a month.""CGI Group, the tech firm hired to build Vermont Health Connect, 
described the risk as “high” in a report about the attack. It also found
 possible evidence of sophisticated “counter-forensics activity 
performed by the attacker to cover his/her tracks.”""""The report says that no private consumer information was stored on the 
hacked server, and that CGI Group had “verified that no additional 
servers [that may store private data] communicated with any of the 
identified attacker IP addresses.”""This individual was able to gain access to the server because the defaut password on that server was never changed (in violation of guidelines laid out in the 
state’s official policy) along with the fact that the access to the server was never restricted to those users who were known and authorized to be on the server.",PHIPrivacy.net,"Williston, Vermont",1,Unknown,,Vermont,Unknown,HACK,MED
63000,,,Statewise Representation,Indianapolis,St. Vincent Breast Center,7/4/2014,"St. Vincent Breast Center have announced that patient's health information may have been breached after the center sent around 63,000 letters to the wrong patients. The letters included patient names, addresses and in certain references to scheduled appointments. Reportedly no Social Security numbers, financial information or clinical information.""St.Vincent Breast Center entered into an agreement with Indianapolis 
Breast Center P.C. and Solis Women’s Health Breast Imaging Specialists 
of Indiana P.C. after they both closed last year.
On May 5, St.Vincent Breast Center mailed letters intended for prior 
patients of the Indianapolis Breast Center and Solis Women’s Health to 
inform them that St.Vincent was available to provide care. Some letters 
also welcomed patients who had previously scheduled healthcare services.
Officials said on May 15, people who had accidentally received another person’s letter began calling St.Vincent"".For those affected they can call 1-877-216-3862 from Monday through Friday 9:00 a.m. to 7:00 p.m.",Media,"Indianapolis, Indiana",1,"63,000",,Indiana,Unknown,DISC,MED
500,500,100,Statewise Representation,Apple Valley,Apple Valley Christian Care Center,7/16/2014,"Apple Valley Christian Care Center has notified individuals of a security breach of their system when a ""technical glitch"" occurred. The center communicated that the compromised data varied greatly.The information included Social Security numbers, dates of birth, home addresses, dates of stays, Medi-Cal ID numbers, Medicare ID numbers, and/or other insurance information such as Medi-Cal appeals, diagnosis codes, treatment information and medical history.",PHIPrivacy.net,"Apple Valley, California",1,500,,California,500,DISC,MED
2780,,,Statewise Representation,Sausalito,Bay Area Pain Medical Associates,7/16/2014,"Bay Area Pain Medical Associates have notified patients of a data breach when several of their desktop computers were stolen. There were approximately 2,780 patients first and last names, number of years the patients had been seen at their practice. The are reporting that the computer data was encrypted and inaccessible, there was an Excel spreadsheet that containing this information that could have possibly been accessed. No Social Security numbers, dates of birth, financial information, contact information or medical information was exposed.The facility is offering 12 months free of AllClearID. Those affected can call 1-877-579-2269.",California Attorney General,"Sausalito, California",1,"2,780",,California,Unknown,STAT,MED
661,,,Statewise Representation,Philadelphia,Penn Medicine Rittenhouse,7/18/2014,"Penn Medicine had to announce a data breach involving receipts that were stolen last month from a locked office in Pennsylvania Hospital. The information on the receipts included combinations of patient names, dates of birth and the last four digits of credit card numbers.",Media,"Philadelphia, Pennsylvania",1,661,,Pennsylvania,Unknown,PHYS,MED
,,,Statewise Representation,San Mateo,San Mateo Medical Center,8/7/2014,"San Mateo Medical Center (SMMC) notified individuals of a potential data breach when the facility discovered that an employee who was hired in the payroll unit of the facility failed to disclose a prior conviction for identity theft. The employee was terminated immediately, but the individual had access to SMMC employee information including names, contact information, Social Security numbers and dates of birth.The facility reported that they found ""no evidence indicating that the employee misused confidential information from SMMC employee records"".SMMC has engaged Kroll to provide identity theft protection for one year at no cost. For those affected they can contact the county at 1-844-530-4127 from 6:00 a.m. to 3:00 p.m. PDT. ",California Attorney General,"San Mateo, California",1,Unknown,,California,Unknown,INSD,MED
49000,,,Statewise Representation,Orange,Orthopaedic Specialty Institute Medical Group,8/12/2014,"Orthopaedic Specialty Institute Medical Group has reported a data breach when it was discovered that 742 boxes of patient X-rays were stolen from an Iron Mountain Record Management storage facility. After an investigation by the authorities, it was discovered that two Iron Mountain Record Management employees stole the files and melted them down for the silver.The information in the records, which are 10 to 15 years old,  and could have included patient names, birth dates and medical record numbers. For those who might have been affected they can call the medical group at 1-714-937-48251-714-937-4825 .  More Information: http://www.ocregister.com/articles/medical-631456-rays-group.html CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",Media,"Orange, California",1,"49,000",,California,Unknown,PHYS,MED
5,4500000,0.000111111,Statewise Representation,Franklin,Community Health Systems,8/18/2014,"Community Health Systems out of Franklin Tennessee has announced a large data breach of their medical system. The breach occured when hackers infiltrated the server of the health system compromising Social Security numbers, names and addresses for 4.5 million patients. Authorities believe that the hackers were based out of China and the attacks happened from April 2014 through June 2014.The company operates 206 hospitals in 29 states and is currently doing further investigations regarding the attack. More Information:  http://bits.blogs.nytimes.com/2014/08/18/hack-of-community-health-system...  UPDATE (8/26/2014): Five Alabama residents have filed a class-action lawsuit against Community Health Systems following last week's announcement of the data breach of 4.5 million patients. ",Media,"Franklin, Tennessee",1,4.5 million,,Tennessee,"4,500,000",HACK,MED
,,,Statewise Representation,Los Angeles,ManagedMed Inc (A Psychological Corporation),8/22/2014,"ManagedMed Inc.(A Psychological Corporation) notified patients and the Attorney General's office of a data breach of their patient scheduling system. According to the facility patient scheduling information was viewed via an unsecured webpage by at least two non-ManagedMed individuals. This information was visible from March, 2013 through May 15, 2014. The breach allowed unauthorized persons to access the facilities calendaring system and view the information. This information included patient scheduling information, patient names, telephone numbers, names of providers, notes on the patient which could have included information on the type of visit scheduled or medication/test scheduled for the patient, and dates of appointments.  According to the facility no SSN's, credit card or medical records information were exposed. ",California Attorney General,"Los Angeles, California",1,Unknown,,California,Unknown,DISC,MED
33136,33136,100,Statewise Representation,Los Angeles,"Cedars-Sinai Medical Center, Los Angeles",8/22/2014,"Cedars-Sinai Medical Center in Los Angeles California has reported a data breach of at least 500 patients at the facility when an employees laptop computer was stolen from their home during a burglary in June 2014. The laptop was password protected.The records on the laptop included specific patient data such as lab testing, treatment and diagnosis, Social Security numbers and other personal information. More Information: http://www.latimes.com/business/la-fi-cedars-breach-20140823-story.html UPDATE (10/3/2014): The data breach that occurred when an employee laptop was stolen, contained many more files than what was originally reported by the hospital. When the breach was made public, Cedars-Sinai hospital reported that 500 patient files were on the stolen laptop. After an investigation, the laptop actually contaned personal information on  33,136 patients. More Information: http://www.latimes.com/business/la-fi-cedars-data-breach-20141002-story....",Media,"Los Angeles, California",1,"33,136",,California,"33,136",PORT,MED
3334,196,1701.020408163,Statewise Representation,Ann Arbor,"BioReference Laboratories, Inc./CareEvolve, Inc.",8/25/2014,"CareEvolve Inc, a subsidiary of BioReference Laboratories, Inc. have notified patients of a data breach to their system that may have inadvertently exposed personal information of patients. CareEvolve, Inc. was reconfiguring a test server and accidentally exposed the server, making it accessible via the Internet. This particular server included patient names, home addresses, telephone numbers, ages, patient/medical record numbers, clinical tests, collection dates, dates of birth and Social Security numbers (196 SSN's exposed according to CareEvolve Inc). Automated search engine data mining applications did access this information starting on February 2, 2014 and ended when the breach was discovered on March 19, 2014. For those that may have been affected can call 1-800-229-52271-800-229-5227 ext. 8433 or email compliancedepartment@bioreference.com.CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",PHIPrivacy.net,"Ann Arbor, Michigan",1,"3,334",,Michigan,196,DISC,MED
,,,Statewise Representation,Long Beach,Long Beach Internal Medical Group,8/26/2014,"The Long Beach Internal Medical Group, Inc. in Long Beach 
California notified patients of data breach when they were notified by 
Iron Mountain Record Management, a facility where the medical practice 
stores old files, that boxes of records were stolen by two employees 
of the storage company.  Reportedly the employees sold X-rays files to a recycler who
 melted them down to recover the silver.  The information in the files stored by the medical practice included names, sex, addresses, dates of birth, telephone numbers, account numbers, office charges, insurance information, diagnosis information, Social Security numbers. CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",PHIPrivacy.net,"Long Beach, California",1,Unknown,,California,Unknown,PHYS,MED
10000,,,Statewise Representation,Orange.,The Hand Care Center/Shoulder and Elbow Institute,8/26/2014,"The Hand Care Center/Shoulder and Elbow Institute in Orange California notified patients of data breach when they were notified by Iron Mountain Record Management, a facility where the medical practice stores old files, that 25 boxes of X-rays were stolen by two employees of the storage company.  The employees sold the X-rays to a recycler who melted them down to recover the silver.  The information in the X-ray files included patient names, dates of birth, gender, treating physician, medical record numbers and the image on the X-ray itself.For those possibly affected, they can call the center at 1-877-615-3762. The center is reporting that any X-rays taken after 2002 were most likely not affected.   ",PHIPrivacy.net,"Orange., California",1,"10,000",,California,Unknown,PHYS,MED
2995,2995,100,Statewise Representation,Los Angeles,AltaMed Health Services,8/29/2014,"AltaMed Health has notified patients of a data breach when a temporary employee and other individuals were reported to be under investigation for an identity theft scheme, according to Arcadia law enforcement agents. No arrests have been made currently, but the investigation is continuing.""Law enforcement 
disclosed it recovered a hard drive and other evidence during its 
investigation, that this hard drive and evidence may include the 
organization’s records, and that it believes this information may have 
been misused by participants in the identity theft ring currently under 
investigation"".

The investigation has shown that this temporary employee accessed electronic and paper records for individuals that attended community events in Orange and Los Angeles counties from October 24, 2013 through June 6, 2014. The temporary employee was hired to help with patient enrollment.The records this person had access to included names, email addresses, telephone numbers, Social Security numbers, provider 
information, insurance information, dates of birth, and addresses.
AltaMed is offering AllClear ID and AllClear ID Pro for those individuals affected. You can find information regarding these services by calling (877) 579-2263More Information: https://oag.ca.gov/system/files/AltaMed%20Individual%20Notice%20Template...",California Attorney General,"Los Angeles, California",1,"2,995",,California,"2,995",INSD,MED
10604,1060,1000.377358491,Statewise Representation,Houston,Memorial Hermann Hospital,8/29/2014,"Memorial Hermann Hospital is notifying patients of a data breach when they discovered a former employee accessed medical records of more than 10,000 patients.Reportedly the former employee had been accessing patient information for over severn years, December 2007 through July 2014, that were outside their normal job description. The information breached included patients' medical records, health insurance 
information, Social Security numbers, names, addresses
 and dates of birth. More Information:http://www.click2houston.com/news/memorial-hermann-hospital-employee-acc... ",Media,"Houston, Texas",1,"10,604",,Texas,"1,060",INSD,MED
6141,,,Statewise Representation,Beachwood,Beachwood-Lakewood Plastic Surgery,8/29/2014,"Beachwood-Lakewood Plastic Surgery and Dr. Stevem A. Golman, notified patients of a data breach when their office in the Parkway Medical complex were burglarized. The theives stole computer hardware that inlcuded patient information that included names and limited medical information.The medical practice is offering you one year of credit monitoring at no cost. This 
service is provided by All Clear ID.If you have any questions or would like to enroll in the credit monitoring service, call 1-877-615-3745.",PHIPrivacy.net,"Beachwood, Ohio",1,"6,141",,Ohio,Unknown,PORT,MED
,,,Statewise Representation,Gainesville,Texas Wellness Incentives and Navigation (WIN) Project- University of Florida and Texas Health and Human Services Commission,9/29/2014,"The University of Florida and Texas Health and Human Services Commission (HHSC) a cooperative project called the Texas Wellness Incentives and Navigation (WIN) Project for Medicaid patients, notified patients of a data breach. The University of Florida, acting as a partner of HHSC, sent letters to Houston area physicians requesting health records. Unfortunately, due to a database merging error, some of those health record requests were sent to the wrong physicians. The information shared with the incorrect physician included names, Medicaid STAR+PLUS identification numbers, and dates of birth. Those affected with questions can call 1-866-876-HIPA1-866-876-HIPA (4472).More Information: http://www.phiprivacy.net/university-of-florida-and-texas-hhsc-notify-te... and http://privacy.ufl.edu/wp-content/uploads/2014/09/Brch-letr-ICHP-KCase-P... CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",PHIPrivacy.net,"Gainesville, Florida",1,Unknown,,Florida,Unknown,DISC,MED
,,,Statewise Representation,Birmingham,American Family Care,9/29/2014,"""American Family Care of Birmingham is alerting customers following the 
theft of two laptops containing sensitive information from an employee’s
 vehicle earlier this summer"".The information on the laptops contained personal information of patients specifically related to work injuries, physicals, immunizations and drug screens. The lap top also included the names, dates of birth, addresses, phone numbers, medical record numbers, Social Security Numbers, additional medical information, insurance information, driver's license numbers and dates of service. Those with questions concerning the incident can call (800) 258-7535(800) 258-7535 extension 2588 or e-mail ComplianceOfficer@americanfamilycare.com.More Information: http://www.phiprivacy.net/american-family-care-alerts-customers-of-stole... and http://www.bizjournals.com/birmingham/morning_call/2014/09/american-fami... CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",PHIPrivacy.net,"Birmingham , Alabama",1,Unknown,,Alabama,Unknown,PORT,MED
,,,Statewise Representation,Brentwood,Touchstone Medical Imaging,10/3/2014,"Touchstone Medical Imaging notified patients of a data breach as a ""result of an open share that was exposed to the Internet.""The information exposed included Social Security numbers, names, addresses, dates of birth, and phone numbers. The center stated that no medical information was stored in this exposed folder. They are not sure if any financial information was contained in this folder. More Information: http://www.csoonline.com/article/2691601/data-breach/touchstone-medical-...",Media,"Brentwood, Tennessee",1,Unknown,,Tennessee,Unknown,DISC,MED
10790,,,Statewise Representation,New York,Mount Sinai Beth Israel,10/3/2014,"Mount Sinai Beth Israel announced a data breach when a laptop computer was stolen from a staff room. According to the facility the laptop was password-protected but not encrypted.The patient information housed on the laptop included patient names, dates of birth, medical record numbers, dates of service, procedure codes and description of procedures along with clinical information about patient care received. The facility has stated that patient Social Security numbers, insurance information, addresses and phone numbers were not stored on this particular laptop.More Information: http://www.mountsinaihealth.org/about-the-health-system/news-releases/st...",Media,"New York, New York",1,"10,790",,New York,Unknown,PORT,MED
4000,,,Statewise Representation,San Antonio,South Texas Veterans Health Care System,10/9/2014,"The South Texas Veterans Health Care System informed 4,000 patients of a data breach to their personal information.  ""South Texas Veterans Health Care tried to send veterans notices on 
September 15 to explain a new federal rule of Hydrocodone combination 
they need to be aware of. But in the process of printing the letters, 
they mistakenly came out double-sided and had one unique veteran’s 
information on one side and another veteran’s on the other.""The information breach included full names, addresses and the type of prescription drugs. More Information: http://healthitsecurity.com/2014/10/09/south-texas-va-reports-printing-e...",Media,"San Antonio, Texas",1,"4,000",,Texas,Unknown,DISC,MED
,,,Statewise Representation,Detroit,"U.S. Health Holdings, Ltd.",10/9/2014,"U.S Health Holdings, Ltd. on behalf of Macomb County Michigan has suffered a breach when an accidental disclosure of of personal informaton was posted on the Michigan Inter-Governmental Trade Network (""MITN"") website. The information exposed included names, dates of birth, Social Security numbers, zip codes, cities, and Plan carrier names. More Information: http://www.phiprivacy.net/2014/10/page/13/",PHIPrivacy.net,"Detroit, Michigan",1,Unknown,,Michigan,Unknown,DISC,MED
1300,,,Statewise Representation,Gresham,Albertina Kerr Centers,10/9/2014,"The Albertina Kerr Centers have notified individuals of a breach when two of their laptop computers and a cell phone were stolen from the Albertina Kerr's campus. The laptops contained medical information identifying individuals, the diagnoses they received and treatements applied. The theft took place in August of 2014 when an individual or individuals broke into one the facilities offices at the Kerr's crisis psychiatric care facility. According to the facility these laptops did not contain Social Security numbers or financial information. The center is offering a year of free identity theft security monitoring. For those affected they can call 1-888-276-0529.More Information: http://www.oregonlive.com/gresham/index.ssf/2014/10/laptops_stolen_from_...",PHIPrivacy.net,"Gresham, Oregon",1,"1,300",,Oregon,Unknown,PORT,MED
,,,Statewise Representation,Oak Partk,Oak Park Medical Center,10/13/2014,"Medical files were found by a former customer of a Dr. Pramod Raval, who was indicted in a Medicare home health care fraud scheme. Boxes of full files were dumped outside with massive amounts of patient data still intact.The medical files included files that contained names, Social Security numbers, X-rays, blood types and addresses.The local police were notified and the files were scheduled to be shredded.More Information: http://www.clickondetroit.com/news/medical-files-found-dumped-in-oak-par...",Media,"Oak Partk, Michigan",1,Unknown,,Michigan,Unknown,DISC,MED
,,,Statewise Representation,Sacramento,University of California Davis Medical Center,10/13/2014,"The University California Davis Medical Center discovered abnormal activity in the email account of one of their providers. An investigation determined that the provider's email was compromised by an unknown source. As a result, an unauthorized use and access to their system giving them access to communication between the provider and the patients. For additional questions regarding the incident contact 1-916-734-8808 or email privacyprogram@ucdmc.ucdavis.edu More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46960 ",California Attorney General,"Sacramento, California",1,Unknown,,California,Unknown,HACK,MED
,,,Statewise Representation,Brookville,Penn Highlands Brookville,10/13/2014,"The office of Dr. Barry J. Snyder at Penn Highlands Brookville, a healthcare service provider for the Brookville area in Pennsylvania, notified patients of a data breach when a third party accessed the third party vendor's server who maintains records for Dr. Snyder. The information compromised included patient names, addresses, dates of birth, driver's license numbers, Social Security numbers, phone numbers, insurance information, medical informatino and genders. The facility is offering free identity monitoring and identity protection services to affected individuals through Kroll Inc. Those affected can call 1-855-401-2640.",PHIPrivacy.net,"Brookville, Pennsylvania",1,Unknown,,Pennsylvania,Unknown,HACK,MED
,,,Statewise Representation,Gaffney,Novant Health Gaffney Family Medical Care,10/14/2014,Novant Health Gaffney Family Medical Care informed patients of a data breach when their offices were broken into and two of the facilities laptops were stolen.The information on the laptops was not disclosed.More Information: http://www.wspa.com/story/26681323/laptops-with-patient-data-stolen-from...,Media,"Gaffney , South Carolina",1,Unknown,,South Carolina,Unknown,PORT,MED
8000,8000,100,Statewise Representation,Miami,Jessie Trice Community Health Center,11/7/2014,"Jessie Trice Community Health Center announced a data breach when members of an identity theft ring accessed the personal information of 8,000 patients.The informaton accessed included names, dates of birth and Social Security Numbers. No medical information was compromised according to the facility. The FBI and the IRS are currently investigating the breach.More Information: http://www.clinical-innovation.com/topics/privacy-security/identity-thef...",Media,"Miami, Florida",1,"8,000",,Florida,"8,000",HACK,MED
,,,Statewise Representation,Chapel Hill,Central Dermatology Center,11/10/2014,"Central Dermatology Center notified patients of a data breach to their system when malware was found on one of their servers. The information compromised included patient names, addresses, phone numbers, dates of birth, Social Security Numbers, sex, treatment dates, account balances, email addresses, insurer, providers, employers and race.Currently, the center has hired an forensic IT firm to investigate the breach. They did not provide the number of individuals at risk.More Information: http://healthitsecurity.com/2014/11/10/potential-health-data-breach-hits... ",Media,"Chapel Hill, North Carolina",1,Unknown,,North Carolina,Unknown,HACK,MED
60582,,,Statewise Representation,Dallas,Onsite Health Diagnostics,11/12/2014,"Dallas-based Onsite Health Diagnostics, a third party contractor with state of Tennessee,  who completes medical testing and health screenings for various government insurance plans has suffered a data breach. The company discovered hackers had gained access to a computer system that houses personal information for members of the Tennessee's State Insurance Plan, Local Government Insurance Plan and Local Education Insurance plan.The information affected in the breach included health benefit member names, dates of birth, addresses, emails, phone numbers and gender. More Information: http://www.healthcareitnews.com/news/hackers-swipe-data-60k-vendor-hipaa... ",Media,"Dallas, Texas",1,"60,582",,Texas,Unknown,HACK,MED
2076,2076,100,Statewise Representation,Greensboro,Cone Health,11/14/2014,"Cone Health notified patients to a data breach when after letters sent from one of its facilities were addressed to the wrong patients. The information on 2,076 patients included names, Social Security numbers, dates of birth and insurance information. More Information: http://www.wfmynews2.com/story/news/local/2014/10/09/cone-health-admits-...",Media,"Greensboro, North Carolina",1,"2,076",,North Carolina,"2,076",DISC,MED
,,,Statewise Representation,Chico,Reeve-Wood Eye Center,11/14/2014,"The Reeve-Wood Eye Center reported a data breach to the California Attorney General's office. No specific details were provided as to the scope of the breach, type of breach or individuals affected. ",California Attorney General,"Chico, California",1,Unknown,,California,Unknown,UNKN,MED
